Gene	Normal	Tumour	FDR	AveExpr	P value	Normal-1	Normal-2	Normal-3	Normal-4	Normal-5	Tumour-1	Tumour-2	Tumour-3	Tumour-4	Tumour-5	Normal-1 CPM	Normal-2 CPM	Normal-3 CPM	Normal-4 CPM	Normal-5 CPM	Tumour-1 CPM	Tumour-2 CPM	Tumour-3 CPM	Tumour-4 CPM	Tumour-5 CPM
PFDN2	0	1.37371426737799	0.0601536493432278	5.55796467895617	0.0082820153611176	1367	699	1117	1591	1534	847	6425	6401	2480	1764	30.978	23.348	21.017	24.970	30.709	19.959	113.967	122.816	37.964	30.149
SPARCL1	0	-1.55683588080382	0.0601536493432278	9.3944179929862	0.00828066933624676	46290	39788	55564	37209	50538	21169	10337	4078	39942	22447	1048.981	1328.974	1045.467	583.975	1011.716	498.827	183.358	78.245	611.434	383.645
EIF2AK1	0	1.14238107976353	0.0601536493432278	7.92522941846966	0.00828476205876995	5579.51	5243.13	6275.83	14811.13	6335.91	17208.18	21097.21	17661.96	19072.49	14524.05	126.438	175.128	118.083	232.452	126.838	405.494	374.222	338.880	291.962	248.233
EZR	0	1.75148831562336	0.0602176988430966	8.5644261846791	0.00829663361631156	7568	7641	1664	26899	2981	21299	41219	11720	14075	69002	171.499	255.220	31.309	422.165	59.676	501.891	731.142	224.871	215.461	1179.323
MMP20	0	4.82865304290738	0.060221830325574	-1.34638806959052	0.00830025328314694	0	3	0	2	0	0	5	156	1	0	0.000	0.100	0.000	0.031	0.000	0.000	0.089	2.993	0.015	0.000
GUCA1A	0	3.59181702032309	0.0602541025404218	-3.1482313587813	0.00831385752811818	1	1	0	0	0	3	13	13	0	6	0.023	0.033	0.000	0.000	0.000	0.071	0.231	0.249	0.000	0.103
PAH	0	3.21463039324394	0.0602541025404218	0.00873302474311446	0.0083130979010683	0	7	0	47	3	108	282	19	16	32	0.000	0.234	0.000	0.738	0.060	2.545	5.002	0.365	0.245	0.547
SGCA	0	-2.81152093500437	0.0602541025404218	-0.401711619846707	0.00830833444376762	26	58	35	11	147	0	1	21	16	11	0.589	1.937	0.659	0.173	2.943	0.000	0.018	0.403	0.245	0.188
GCM1	0	3.76832255444089	0.0602989175265389	0.816374815953498	0.00832309544422138	5	16	4	33	2	4	4	0	1094	30	0.113	0.534	0.075	0.518	0.040	0.094	0.071	0.000	16.747	0.513
PVT1	0	2.06587189450197	0.0603412039851116	2.74314595340575	0.00833198875815085	122	101	14	442	31	458	773	921	497	157	2.765	3.374	0.263	6.937	0.621	10.792	13.711	17.671	7.608	2.683
SNCG	0	-2.23937221338628	0.0603616558942329	5.63097872280736	0.00833787030815384	10446	1540	1969	913	3143	1400	23	137	727	2326	236.718	51.438	37.048	14.329	62.919	32.990	0.408	2.629	11.129	39.754
PRRT3	0	2.0398481750722	0.0603936819855729	3.35582350024933	0.00834535328014603	119	218	83	491	109	2001	102	149	587	1358	2.697	7.282	1.562	7.706	2.182	47.152	1.809	2.859	8.986	23.210
HIST1H2AJ	0	4.02351236606245	0.0604302139361205	-4.10805569502583	0.00835346235597572	0	0	0	0	0	1	1	2	7	0	0.000	0.000	0.000	0.000	0.000	0.024	0.018	0.038	0.107	0.000
RAB3C	0	-2.72200413288789	0.0605304011180965	-0.92537133720198	0.00837650976874884	41	51	30	4	55	2	21	1	12	1	0.929	1.703	0.564	0.063	1.101	0.047	0.372	0.019	0.184	0.017
TRIM65	0	1.56958930698644	0.0605304011180965	5.07631987378233	0.00837344071756872	884	614	815	705	901	1073	1807	7539	1372	805	20.032	20.508	15.335	11.065	18.037	25.284	32.053	144.651	21.003	13.758
FAM19A3	0	3.19207981083641	0.0605304011180965	-0.0601792940720648	0.00837636148499214	5	3	0	43	4	6	62	306	25	8	0.113	0.100	0.000	0.675	0.080	0.141	1.100	5.871	0.383	0.137
IL1F8	0	4.51815770693713	0.0605765941667162	-3.93770695073822	0.00838597061379979	0	0	0	0	0	0	2	10	0	1	0.000	0.000	0.000	0.000	0.000	0.000	0.035	0.192	0.000	0.017
FEZ1	0	-1.60681629400469	0.0605821786500453	3.39937275079287	0.00838981240143977	945	511	621	534	1012	137	77	254	447	545	21.415	17.068	11.684	8.381	20.259	3.228	1.366	4.873	6.843	9.315
CPAMD8	0	-1.57191890208138	0.0607533540710243	3.47469095714352	0.00841659524791062	587	495	892	1823	483	507	187	97	584	168	13.302	16.534	16.783	28.611	9.669	11.947	3.317	1.861	8.940	2.871
MEIG1	0	3.59005002379414	0.0607943872241003	-2.14128370683849	0.00842535930732137	0	1	1	4	1	0	45	11	47	0	0.000	0.033	0.019	0.063	0.020	0.000	0.798	0.211	0.719	0.000
TNIP1	0	-1.29837323477135	0.0609431761846559	7.29582854652237	0.00844906662027167	16355	5663	8813	6751	13522	3344	2026	6342	8449	4938	370.622	189.152	165.821	105.953	270.696	78.798	35.937	121.684	129.338	84.396
PEX19	0	-1.37824090032259	0.0609825541156711	7.74259546521393	0.00846228447145725	9750.78	4631	29777.29	7698.87	20014.46	6670.26	5576	4511	9057	6781.73	220.963	154.682	560.276	120.829	400.668	157.178	98.907	86.552	138.645	115.907
CACYBP	0	1.2308465463861	0.0609825541156711	6.61150306691475	0.00846379284150232	2365	1760	2877	3855	3287	3732	17361	3939	5191	7161	53.593	58.786	54.132	60.502	65.802	87.941	307.949	75.578	79.464	122.390
FIGNL1	0	1.38795962358189	0.0609825541156711	4.32072103585365	0.00846348683144436	375	442	471	845	550	1021	3790	1193	834	853	8.498	14.763	8.862	13.262	11.010	24.059	67.227	22.890	12.767	14.579
